parameters:
P = 0.900000	Q = 0.100000	D_A = 0.090000	error rate = 0.010000	average coverage per site = 3	sample size = 100	# of iterations = 10000

iteration	sample P	sample Q	sample error rate	sample p	sample D_A	best_major_allele_freq	best_D_A	best_f	estimated P	estimated Q	best_error	HWE_maxll	null_maxll	maxll	pol_llstat	HWE_llstat
65	0.890000	0.110000	0.017483	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.020979	-72.452624	-122.409503	-62.931129	118.956747	19.042991
66	0.890000	0.110000	0.019672	0.890000	0.097900	0.900000	0.090000	1.000000	0.900000	0.100000	0.014754	-79.848217	-140.786386	-68.327210	144.918352	23.042015
67	0.920000	0.080000	0.007143	0.920000	0.073600	0.905000	0.070975	0.825531	0.890000	0.080000	0.000000	-49.524098	-121.784377	-40.854328	161.860097	17.339540
68	0.920000	0.080000	0.018519	0.920000	0.073600	0.920000	0.073600	1.000000	0.920000	0.080000	0.027778	-78.164896	-139.600833	-64.456246	150.289174	27.417300
69	0.910000	0.090000	0.021127	0.910000	0.081900	0.910000	0.081900	1.000000	0.910000	0.090000	0.021127	-77.556878	-135.144598	-65.488265	139.312666	24.137226
70	0.850000	0.150000	0.003322	0.850000	0.127500	0.850000	0.127500	1.000000	0.850000	0.150000	0.004983	-68.214677	-170.685340	-47.600578	246.169524	41.228197
71	0.890000	0.110000	0.000000	0.890000	0.097900	0.890000	0.097900	1.000000	0.890000	0.110000	0.000000	-49.003041	-123.913807	-34.418466	178.990683	29.169150
72	0.880000	0.120000	0.003165	0.880000	0.105600	0.865000	0.111775	0.957183	0.860000	0.130000	0.000000	-64.370940	-198.427142	-43.987796	308.878692	40.766287
73	0.900000	0.100000	0.006803	0.900000	0.090000	0.890000	0.097900	1.000000	0.890000	0.110000	0.005102	-60.556366	-136.318236	-46.209261	180.217950	28.694211
74	0.830000	0.170000	0.006579	0.830000	0.141100	0.820000	0.147600	1.000000	0.820000	0.180000	0.009868	-85.373488	-211.878682	-59.233577	305.290209	52.279821
75	0.920000	0.080000	0.009868	0.920000	0.073600	0.930000	0.055100	0.846390	0.920000	0.060000	0.004934	-51.886810	-120.798508	-42.385710	156.825596	19.002199
76	0.950000	0.050000	0.017442	0.950000	0.047500	0.950000	0.047500	1.000000	0.950000	0.050000	0.021802	-66.184055	-117.078180	-56.588004	120.980351	19.192101
77	0.940000	0.060000	0.010067	0.940000	0.056400	0.930000	0.055100	0.846390	0.920000	0.060000	0.005034	-49.284302	-109.830161	-41.553673	136.552976	15.461258
78	0.940000	0.060000	0.003413	0.940000	0.056400	0.940000	0.056400	1.000000	0.940000	0.060000	0.005119	-41.169203	-94.962375	-30.257458	129.409832	21.823489
79	0.880000	0.120000	0.016502	0.880000	0.105600	0.870000	0.103100	0.911583	0.860000	0.120000	0.009901	-78.358495	-162.173843	-67.408230	189.531226	21.900530
80	0.920000	0.080000	0.013889	0.920000	0.073600	0.910000	0.081900	1.000000	0.910000	0.090000	0.020833	-66.519022	-119.267728	-53.061499	132.412460	26.915048
81	0.910000	0.090000	0.006667	0.910000	0.081900	0.900000	0.090000	1.000000	0.900000	0.100000	0.005000	-55.658102	-120.423879	-43.634104	153.579550	24.047997
82	0.910000	0.090000	0.006757	0.910000	0.081900	0.910000	0.081900	1.000000	0.910000	0.090000	0.010135	-56.842403	-146.020820	-41.460331	209.120979	30.764144
83	0.950000	0.050000	0.003521	0.950000	0.047500	0.950000	0.047500	1.000000	0.950000	0.050000	0.005282	-35.220526	-71.168524	-27.503723	87.329602	15.433605
84	0.890000	0.110000	0.014085	0.890000	0.097900	0.890000	0.097900	1.000000	0.890000	0.110000	0.015845	-65.766454	-135.144598	-51.595951	167.097294	28.341005
85	0.870000	0.130000	0.009836	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.009836	-73.477601	-156.418693	-56.094307	200.648771	34.766588
86	0.890000	0.110000	0.006024	0.890000	0.097900	0.890000	0.097900	1.000000	0.890000	0.110000	0.004518	-62.348539	-147.027511	-46.454935	201.145151	31.787209
87	0.900000	0.100000	0.018519	0.900000	0.090000	0.890000	0.097900	1.000000	0.890000	0.110000	0.016667	-71.252194	-145.572149	-56.956667	177.230963	28.591054
88	0.860000	0.140000	0.006494	0.860000	0.120400	0.865000	0.101775	0.871548	0.850000	0.120000	0.000000	-63.982861	-180.383134	-49.805472	261.155324	28.354776
89	0.920000	0.080000	0.017921	0.920000	0.073600	0.915000	0.062775	0.807136	0.900000	0.070000	0.010753	-59.444308	-115.013956	-52.135528	125.756855	14.617560
90	0.920000	0.080000	0.006270	0.920000	0.073600	0.925000	0.064375	0.927928	0.920000	0.070000	0.004702	-51.313458	-122.158788	-40.843143	162.631291	20.940631
91	0.870000	0.130000	0.003390	0.870000	0.113100	0.870000	0.113100	1.000000	0.870000	0.130000	0.005085	-62.235189	-148.982623	-43.766278	210.432689	36.937821
92	0.890000	0.110000	0.009772	0.890000	0.097900	0.885000	0.096775	0.950872	0.880000	0.110000	0.004886	-68.989656	-153.613021	-54.955670	197.314703	28.067972
93	0.890000	0.110000	0.017007	0.890000	0.097900	0.870000	0.093100	0.823165	0.850000	0.110000	0.005102	-74.598083	-145.768232	-65.687980	160.160504	17.820206
94	0.900000	0.100000	0.010526	0.900000	0.090000	0.920000	0.073600	1.000000	0.920000	0.080000	0.010526	-59.712677	-122.306280	-47.480561	149.651438	24.464232
95	0.840000	0.160000	0.013289	0.840000	0.134400	0.830000	0.141100	1.000000	0.830000	0.170000	0.019934	-92.694867	-200.941196	-69.211886	263.458619	46.965962
96	0.910000	0.090000	0.006390	0.910000	0.081900	0.920000	0.073600	1.000000	0.920000	0.080000	0.009585	-57.150711	-135.147182	-41.990251	186.313862	30.320919
97	0.910000	0.090000	0.009901	0.910000	0.081900	0.920000	0.073600	1.000000	0.920000	0.080000	0.009901	-60.382329	-134.086256	-47.423634	173.325244	25.917392
98	0.900000	0.100000	0.003460	0.900000	0.090000	0.900000	0.080000	0.888889	0.890000	0.090000	0.000000	-44.175918	-90.952677	-36.540580	108.824193	15.270677
99	0.880000	0.120000	0.007042	0.880000	0.105600	0.870000	0.113100	1.000000	0.870000	0.130000	0.010563	-67.258884	-147.521715	-50.279694	194.484042	33.958380
100	0.920000	0.080000	0.020408	0.920000	0.073600	0.945000	0.046975	0.903800	0.940000	0.050000	0.015306	-63.103746	-119.851996	-55.262200	129.179592	15.683093
